City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
615,Scarborough,GB,54.2797,-0.4044,61.34,87,100,10.0,overcast clouds
616,Ostrovnoy,RU,68.0531,39.5131,44.73,92,100,14.67,overcast clouds
617,Cruzeiro Do Sul,BR,-29.5128,-51.9853,73.53,53,0,6.38,clear sky
618,Jieshi,CN,22.8134,115.8257,79.47,84,7,12.17,clear sky
619,Impfondo,CG,1.6381,18.0667,76.59,74,99,2.08,overcast clouds
620,Port Hardy,CA,50.6996,-127.4199,51.98,100,100,3.44,fog
621,Derzhavinsk,KZ,51.1,66.3167,42.01,35,0,7.23,clear sky
622,Roald,NO,62.5833,6.1333,56.91,93,75,11.5,light rain
623,Labytnangi,RU,66.6572,66.4183,36.32,86,33,6.91,scattered clouds
624,Banganapalle,IN,15.3167,78.2333,78.64,75,100,5.3,overcast clouds
625,Aitape,PG,-3.1374,142.3475,78.12,87,100,4.54,overcast clouds
626,Trzcianka,PL,53.0406,16.4563,51.71,84,21,6.82,few clouds
627,Vakhtan,RU,57.9659,46.6889,45.68,76,69,7.58,broken clouds
628,Kachug,RU,53.9606,105.8817,24.48,82,18,1.95,few clouds
629,Coahuayana,MX,18.7333,-103.6833,83.01,75,86,3.89,overcast clouds
630,Ayr,GB,55.4627,-4.6339,55.31,94,20,3.44,few clouds
631,Kampene,CD,-3.6,26.6667,71.49,83,75,1.97,broken clouds
632,Ifanadiana,MG,-21.3,47.6333,61.52,98,3,3.0,clear sky
633,Brive-La-Gaillarde,FR,45.25,1.5,60.84,27,10,1.61,clear sky
634,Constitucion,CL,-35.3333,-72.4167,52.63,86,100,3.18,overcast clouds
635,Novoagansk,RU,61.9449,76.6625,39.76,81,100,6.98,overcast clouds
636,Labuan,MY,5.2767,115.2417,79.16,94,20,2.3,few clouds
637,Sinnamary,GF,5.3833,-52.95,83.77,70,56,13.96,broken clouds
638,Rostovka,RU,55.3842,71.8891,39.96,76,100,7.38,overcast clouds
639,Kihei,US,20.785,-156.4656,80.62,80,40,10.36,scattered clouds
640,Dauriya,RU,49.9333,116.8667,25.86,48,27,5.77,scattered clouds
641,Saveh,IR,35.0213,50.3566,77.02,13,0,2.68,clear sky
642,Chicama,PE,-7.8447,-79.1469,61.34,60,27,11.21,scattered clouds
643,Tilichiki,RU,60.4667,166.1,42.39,89,100,17.94,light rain
644,Hualahuises,MX,24.8847,-99.6733,82.85,48,36,6.35,scattered clouds
645,Monywa,MM,22.1167,95.1333,78.75,86,88,3.2,overcast clouds
646,Camopi,GF,3.1655,-52.3158,95.07,33,100,3.18,overcast clouds
647,Jalu,LY,29.0331,21.5482,77.63,46,0,8.34,clear sky
648,Bejar,ES,40.3864,-5.7634,70.57,34,0,1.61,clear sky
649,Aleksandrovskoye,RU,44.7142,43.0008,60.37,88,100,8.12,overcast clouds
650,Karangasem,ID,-8.45,115.6167,77.36,85,99,7.99,overcast clouds
651,Vagay,RU,57.9375,69.0217,46.51,88,99,4.59,overcast clouds
652,Klamath Falls,US,42.2249,-121.7817,72.88,43,0,1.99,clear sky
653,Sao Sebastiao Do Cai,BR,-29.5867,-51.3756,73.58,41,0,6.22,clear sky
654,Maracas,BR,-13.4411,-40.4308,86.16,23,34,5.1,scattered clouds
655,Morondava,MG,-20.2833,44.2833,76.15,80,0,14.38,clear sky
656,Coos Bay,US,43.3665,-124.2179,58.23,88,100,0.0,overcast clouds
657,Kenai,US,60.5544,-151.2583,49.08,81,0,16.11,clear sky
658,Vredendal,ZA,-31.6683,18.5012,55.31,69,0,17.27,clear sky
659,Lompoc,US,34.6391,-120.4579,75.85,94,20,6.91,few clouds
660,Itanhem,BR,-17.1664,-40.33,92.08,34,13,11.86,few clouds
661,Bereznik,RU,62.8551,42.7072,47.46,96,20,5.97,few clouds
662,Chase,CA,50.8165,-119.6857,58.08,40,84,3.2,broken clouds
663,Waingapu,ID,-9.6567,120.2641,79.47,82,48,3.8,scattered clouds
664,Uni,RU,57.7535,51.4923,45.97,54,100,10.25,overcast clouds
665,Narrabri,AU,-30.3167,149.7833,56.52,78,100,2.66,moderate rain
666,Ndjole,GA,-0.1783,10.7649,74.62,96,45,2.01,scattered clouds
667,Sovetskiy,RU,61.3614,63.5842,48.51,94,100,2.95,overcast clouds
668,Carnot,CF,4.9409,15.8665,71.55,92,100,1.66,overcast clouds
669,Morelia,MX,19.7008,-101.1844,72.54,55,52,5.5,broken clouds
670,Buckeye,US,33.3703,-112.5838,91.42,31,0,11.5,clear sky
671,Bloomingdale,US,27.8936,-82.2404,82.85,68,100,9.22,overcast clouds
672,Camacha,PT,33.0833,-16.3333,69.22,78,20,9.22,few clouds
673,Idenao,CM,4.2475,9.0047,76.23,88,75,3.65,broken clouds
674,Hohhot,CN,40.8106,111.6522,28.69,64,0,4.47,clear sky
675,Manta,EC,-0.95,-80.7333,85.78,51,0,18.61,clear sky
676,Selcuk,TR,37.9514,27.3685,71.02,54,0,6.71,clear sky
677,Caceres,ES,39.522,-6.3748,77.02,25,0,4.18,clear sky
678,Aartselaar,BE,51.1341,4.3868,62.91,79,100,6.91,overcast clouds
679,Madruga,CU,22.9114,-81.8561,83.34,49,21,8.43,few clouds
680,Sorong,ID,-0.8833,131.25,78.53,84,100,4.07,overcast clouds
681,Ngunguru,NZ,-35.6167,174.5,53.51,82,90,11.07,overcast clouds
682,Tezu,IN,27.9167,96.1667,75.52,93,96,2.15,overcast clouds
683,Porto Novo,BJ,6.4965,2.6036,80.42,86,96,6.53,overcast clouds
684,La Asuncion,VE,11.0333,-63.8628,89.33,62,20,11.5,few clouds
685,Kawalu,ID,-7.3817,108.2082,70.57,98,100,0.69,overcast clouds
686,Khuzdar,PK,27.7384,66.6434,75.56,41,0,3.94,clear sky
687,Sergeyevka,KZ,53.88,67.4158,45.25,33,33,7.4,scattered clouds
688,Ville-Marie,CA,47.3335,-79.433,65.08,54,83,5.59,broken clouds
689,Taltal,CL,-25.4,-70.4833,59.9,70,16,7.23,few clouds
690,Mazamari,PE,-11.3258,-74.5308,91.09,40,80,3.0,broken clouds
