City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
604,Isangel,VU,71.67,few clouds,-19.55,169.2667,Tanna Lodge
605,Manavalakurichi,IN,78.39,overcast clouds,8.1333,77.3,Jebinrio home
607,Gat,IL,78.82,clear sky,31.61,34.7642,OlusHome
608,Pasighat,IN,75.33,overcast clouds,28.0667,95.3333,Siang Guest House
610,Road Town,VG,89.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
613,Nichinan,JP,74.08,scattered clouds,31.6,131.3667,Guest House Aki
617,Cruzeiro Do Sul,BR,73.53,clear sky,-29.5128,-51.9853,Estrela Palace Hotel
618,Jieshi,CN,79.47,clear sky,22.8134,115.8257,Yuehai Hotel
619,Impfondo,CG,76.59,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
624,Banganapalle,IN,78.64,overcast clouds,15.3167,78.2333,Hotel salamth
629,Coahuayana,MX,83.01,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
636,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
637,Sinnamary,GF,83.77,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
639,Kihei,US,80.62,scattered clouds,20.785,-156.4656,Maui Sunset
641,Saveh,IR,77.02,clear sky,35.0213,50.3566,Sadra
644,Hualahuises,MX,82.85,scattered clouds,24.8847,-99.6733,Cabaña hualahuises
645,Monywa,MM,78.75,overcast clouds,22.1167,95.1333,Monywa Hotel
647,Jalu,LY,77.63,clear sky,29.0331,21.5482,صاحبة الفخامة
648,Bejar,ES,70.57,clear sky,40.3864,-5.7634,Posada Puerta Grande
650,Karangasem,ID,77.36,overcast clouds,-8.45,115.6167,Villa Campuhan
652,Klamath Falls,US,72.88,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
653,Sao Sebastiao Do Cai,BR,73.58,clear sky,-29.5867,-51.3756,Hotel Di Variani
654,Maracas,BR,86.16,scattered clouds,-13.4411,-40.4308,Pousada Vale Aprazível
655,Morondava,MG,76.15,clear sky,-20.2833,44.2833,La Case Bambou
659,Lompoc,US,75.85,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
663,Waingapu,ID,79.47,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
666,Ndjole,GA,74.62,scattered clouds,-0.1783,10.7649,Motel Kédyann
669,Morelia,MX,72.54,broken clouds,19.7008,-101.1844,City Express Morelia
671,Bloomingdale,US,82.85,overcast clouds,27.8936,-82.2404,Travel Club for Free
673,Idenao,CM,76.23,broken clouds,4.2475,9.0047,Moland Beach Resort
675,Manta,EC,85.78,clear sky,-0.95,-80.7333,Balandra Hotel
676,Selcuk,TR,71.02,clear sky,37.9514,27.3685,Archeologica House Ephesus
677,Caceres,ES,77.02,clear sky,39.522,-6.3748,Ahc Hoteles
680,Sorong,ID,78.53,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
682,Tezu,IN,75.52,overcast clouds,27.9167,96.1667,Circuit House
683,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
684,La Asuncion,VE,89.33,few clouds,11.0333,-63.8628,Colinas de Matasiete
685,Kawalu,ID,70.57,overcast clouds,-7.3817,108.2082,West Jontor
686,Khuzdar,PK,75.56,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
692,Ipixuna,BR,83.12,broken clouds,-1.7625,-48.8043,Chalé do Mato
694,Naze,JP,72.52,clear sky,28.3667,129.4833,Shishime Hotel
695,Mareeba,AU,70.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
697,Muli,MV,80.74,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
702,West Bay,KY,87.87,broken clouds,19.3667,-81.4167,Calypso Cove
